scenario,edge_mode,gating,spike_strength,detection_rate,delta_mse_vs_lw,delta_qlike_vs_lw
null,scm,default,,0.0,,
null,tyler,default,,0.0,,
power,scm,default,2.0,0.26666666666666666,9.399191748114963e-07,0.003203206470215584
power,scm,default,3.5,0.8333333333333334,3.2002300905804018e-06,0.007010282104738182
power,scm,default,5.0,0.9333333333333333,1.9923803522003797e-06,0.005074546805472628
power,scm,default,6.5,1.0,4.772338781229234e-06,0.011361223861643444
power,tyler,default,2.0,0.26666666666666666,9.399191748114963e-07,0.003203206470215584
power,tyler,default,3.5,0.8333333333333334,3.2002300905804018e-06,0.007010282104738182
power,tyler,default,5.0,0.9333333333333333,1.9923803522003797e-06,0.005074546805472628
power,tyler,default,6.5,1.0,4.772338781229234e-06,0.011361223861643444
