stage,reason,count,injected_mu
pre_gate,edge_buffer,0,0.0
pre_gate,stability_fail,0,0.0
pre_gate,off_component_ratio,0,0.0
pre_gate,energy_floor,0,0.0
pre_gate,neg_mu,0,0.0
pre_gate,eps,0,0.0
pre_gate,tvec_compute_error,10211,0.0
pre_gate,tvec_target_zero,0,0.0
pre_gate,tvec_off_component,22380,0.0
pre_gate,mu_nonfinite,0,0.0
pre_gate,unknown,0,0.0
post_gate,accepted,0,0.0
post_gate,inadmissible_root,0,0.0
post_gate,edge_margin,0,0.0
post_gate,nonisolated,0,0.0
post_gate,stability,0,0.0
post_gate,alignment,0,0.0
post_gate,delta_frac_min,0,0.0
post_gate,delta_frac_max,0,0.0
post_gate,soft_cap,0,0.0
post_gate,hard_cap,0,0.0
pre_gate,edge_buffer,0,3.0
pre_gate,stability_fail,0,3.0
pre_gate,off_component_ratio,0,3.0
pre_gate,energy_floor,0,3.0
pre_gate,neg_mu,0,3.0
pre_gate,eps,0,3.0
pre_gate,tvec_compute_error,429,3.0
pre_gate,tvec_target_zero,0,3.0
pre_gate,tvec_off_component,893,3.0
pre_gate,mu_nonfinite,0,3.0
pre_gate,unknown,0,3.0
post_gate,accepted,0,3.0
post_gate,inadmissible_root,0,3.0
post_gate,edge_margin,0,3.0
post_gate,nonisolated,0,3.0
post_gate,stability,0,3.0
post_gate,alignment,0,3.0
post_gate,delta_frac_min,0,3.0
post_gate,delta_frac_max,0,3.0
post_gate,soft_cap,0,3.0
post_gate,hard_cap,0,3.0
pre_gate,edge_buffer,0,6.0
pre_gate,stability_fail,0,6.0
pre_gate,off_component_ratio,0,6.0
pre_gate,energy_floor,0,6.0
pre_gate,neg_mu,0,6.0
pre_gate,eps,0,6.0
pre_gate,tvec_compute_error,426,6.0
pre_gate,tvec_target_zero,0,6.0
pre_gate,tvec_off_component,900,6.0
pre_gate,mu_nonfinite,0,6.0
pre_gate,unknown,0,6.0
post_gate,accepted,0,6.0
post_gate,inadmissible_root,0,6.0
post_gate,edge_margin,0,6.0
post_gate,nonisolated,0,6.0
post_gate,stability,0,6.0
post_gate,alignment,0,6.0
post_gate,delta_frac_min,0,6.0
post_gate,delta_frac_max,0,6.0
post_gate,soft_cap,0,6.0
post_gate,hard_cap,0,6.0
pre_gate,edge_buffer,0,12.0
pre_gate,stability_fail,0,12.0
pre_gate,off_component_ratio,0,12.0
pre_gate,energy_floor,0,12.0
pre_gate,neg_mu,0,12.0
pre_gate,eps,0,12.0
pre_gate,tvec_compute_error,420,12.0
pre_gate,tvec_target_zero,0,12.0
pre_gate,tvec_off_component,907,12.0
pre_gate,mu_nonfinite,0,12.0
pre_gate,unknown,0,12.0
post_gate,accepted,0,12.0
post_gate,inadmissible_root,0,12.0
post_gate,edge_margin,0,12.0
post_gate,nonisolated,0,12.0
post_gate,stability,0,12.0
post_gate,alignment,0,12.0
post_gate,delta_frac_min,0,12.0
post_gate,delta_frac_max,0,12.0
post_gate,soft_cap,0,12.0
post_gate,hard_cap,0,12.0
pre_gate,edge_buffer,0,24.0
pre_gate,stability_fail,0,24.0
pre_gate,off_component_ratio,1,24.0
pre_gate,energy_floor,0,24.0
pre_gate,neg_mu,0,24.0
pre_gate,eps,0,24.0
pre_gate,tvec_compute_error,416,24.0
pre_gate,tvec_target_zero,0,24.0
pre_gate,tvec_off_component,910,24.0
pre_gate,mu_nonfinite,0,24.0
pre_gate,unknown,0,24.0
post_gate,accepted,0,24.0
post_gate,inadmissible_root,0,24.0
post_gate,edge_margin,0,24.0
post_gate,nonisolated,0,24.0
post_gate,stability,0,24.0
post_gate,alignment,0,24.0
post_gate,delta_frac_min,0,24.0
post_gate,delta_frac_max,0,24.0
post_gate,soft_cap,0,24.0
post_gate,hard_cap,0,24.0
