stage,reason,count,injected_mu,inject_mode
pre_gate,edge_buffer,0,0.0,between
pre_gate,stability_fail,0,0.0,between
pre_gate,off_component_ratio,550,0.0,between
pre_gate,energy_floor,0,0.0,between
pre_gate,neg_mu,0,0.0,between
pre_gate,eps,0,0.0,between
pre_gate,tvec_compute_error,0,0.0,between
pre_gate,tvec_no_real_root,4062,0.0,between
pre_gate,tvec_no_admissible_root,2588,0.0,between
pre_gate,tvec_singularity,0,0.0,between
pre_gate,tvec_target_zero,0,0.0,between
pre_gate,tvec_off_component,19200,0.0,between
pre_gate,mu_nonfinite,0,0.0,between
pre_gate,unknown,0,0.0,between
post_gate,accepted,0,0.0,between
post_gate,inadmissible_root,0,0.0,between
post_gate,edge_margin,0,0.0,between
post_gate,nonisolated,0,0.0,between
post_gate,stability,0,0.0,between
post_gate,alignment,0,0.0,between
post_gate,delta_frac_min,0,0.0,between
post_gate,delta_frac_max,0,0.0,between
post_gate,soft_cap,0,0.0,between
post_gate,hard_cap,0,0.0,between
pre_gate,edge_buffer,0,6.0,between
pre_gate,stability_fail,0,6.0,between
pre_gate,off_component_ratio,144,6.0,between
pre_gate,energy_floor,0,6.0,between
pre_gate,neg_mu,0,6.0,between
pre_gate,eps,0,6.0,between
pre_gate,tvec_compute_error,0,6.0,between
pre_gate,tvec_no_real_root,790,6.0,between
pre_gate,tvec_no_admissible_root,506,6.0,between
pre_gate,tvec_singularity,0,6.0,between
pre_gate,tvec_target_zero,0,6.0,between
pre_gate,tvec_off_component,4130,6.0,between
pre_gate,mu_nonfinite,0,6.0,between
pre_gate,unknown,0,6.0,between
post_gate,accepted,10,6.0,between
post_gate,inadmissible_root,0,6.0,between
post_gate,edge_margin,0,6.0,between
post_gate,nonisolated,0,6.0,between
post_gate,stability,0,6.0,between
post_gate,alignment,0,6.0,between
post_gate,delta_frac_min,0,6.0,between
post_gate,delta_frac_max,0,6.0,between
post_gate,soft_cap,0,6.0,between
post_gate,hard_cap,0,6.0,between
pre_gate,edge_buffer,0,12.0,between
pre_gate,stability_fail,0,12.0,between
pre_gate,off_component_ratio,144,12.0,between
pre_gate,energy_floor,0,12.0,between
pre_gate,neg_mu,0,12.0,between
pre_gate,eps,0,12.0,between
pre_gate,tvec_compute_error,0,12.0,between
pre_gate,tvec_no_real_root,790,12.0,between
pre_gate,tvec_no_admissible_root,506,12.0,between
pre_gate,tvec_singularity,0,12.0,between
pre_gate,tvec_target_zero,0,12.0,between
pre_gate,tvec_off_component,4130,12.0,between
pre_gate,mu_nonfinite,0,12.0,between
pre_gate,unknown,0,12.0,between
post_gate,accepted,10,12.0,between
post_gate,inadmissible_root,0,12.0,between
post_gate,edge_margin,0,12.0,between
post_gate,nonisolated,0,12.0,between
post_gate,stability,0,12.0,between
post_gate,alignment,0,12.0,between
post_gate,delta_frac_min,0,12.0,between
post_gate,delta_frac_max,0,12.0,between
post_gate,soft_cap,0,12.0,between
post_gate,hard_cap,0,12.0,between
pre_gate,edge_buffer,0,18.0,between
pre_gate,stability_fail,0,18.0,between
pre_gate,off_component_ratio,144,18.0,between
pre_gate,energy_floor,0,18.0,between
pre_gate,neg_mu,0,18.0,between
pre_gate,eps,0,18.0,between
pre_gate,tvec_compute_error,0,18.0,between
pre_gate,tvec_no_real_root,790,18.0,between
pre_gate,tvec_no_admissible_root,506,18.0,between
pre_gate,tvec_singularity,0,18.0,between
pre_gate,tvec_target_zero,0,18.0,between
pre_gate,tvec_off_component,4130,18.0,between
pre_gate,mu_nonfinite,0,18.0,between
pre_gate,unknown,0,18.0,between
post_gate,accepted,10,18.0,between
post_gate,inadmissible_root,0,18.0,between
post_gate,edge_margin,0,18.0,between
post_gate,nonisolated,0,18.0,between
post_gate,stability,0,18.0,between
post_gate,alignment,0,18.0,between
post_gate,delta_frac_min,0,18.0,between
post_gate,delta_frac_max,0,18.0,between
post_gate,soft_cap,0,18.0,between
post_gate,hard_cap,0,18.0,between
pre_gate,edge_buffer,0,24.0,between
pre_gate,stability_fail,0,24.0,between
pre_gate,off_component_ratio,144,24.0,between
pre_gate,energy_floor,0,24.0,between
pre_gate,neg_mu,0,24.0,between
pre_gate,eps,0,24.0,between
pre_gate,tvec_compute_error,0,24.0,between
pre_gate,tvec_no_real_root,790,24.0,between
pre_gate,tvec_no_admissible_root,506,24.0,between
pre_gate,tvec_singularity,0,24.0,between
pre_gate,tvec_target_zero,0,24.0,between
pre_gate,tvec_off_component,4130,24.0,between
pre_gate,mu_nonfinite,0,24.0,between
pre_gate,unknown,0,24.0,between
post_gate,accepted,10,24.0,between
post_gate,inadmissible_root,0,24.0,between
post_gate,edge_margin,0,24.0,between
post_gate,nonisolated,0,24.0,between
post_gate,stability,0,24.0,between
post_gate,alignment,0,24.0,between
post_gate,delta_frac_min,0,24.0,between
post_gate,delta_frac_max,0,24.0,between
post_gate,soft_cap,0,24.0,between
post_gate,hard_cap,0,24.0,between
pre_gate,edge_buffer,0,30.0,between
pre_gate,stability_fail,0,30.0,between
pre_gate,off_component_ratio,144,30.0,between
pre_gate,energy_floor,0,30.0,between
pre_gate,neg_mu,0,30.0,between
pre_gate,eps,0,30.0,between
pre_gate,tvec_compute_error,0,30.0,between
pre_gate,tvec_no_real_root,790,30.0,between
pre_gate,tvec_no_admissible_root,506,30.0,between
pre_gate,tvec_singularity,0,30.0,between
pre_gate,tvec_target_zero,0,30.0,between
pre_gate,tvec_off_component,4130,30.0,between
pre_gate,mu_nonfinite,0,30.0,between
pre_gate,unknown,0,30.0,between
post_gate,accepted,10,30.0,between
post_gate,inadmissible_root,0,30.0,between
post_gate,edge_margin,0,30.0,between
post_gate,nonisolated,0,30.0,between
post_gate,stability,0,30.0,between
post_gate,alignment,0,30.0,between
post_gate,delta_frac_min,0,30.0,between
post_gate,delta_frac_max,0,30.0,between
post_gate,soft_cap,0,30.0,between
post_gate,hard_cap,0,30.0,between
pre_gate,edge_buffer,0,36.0,between
pre_gate,stability_fail,0,36.0,between
pre_gate,off_component_ratio,144,36.0,between
pre_gate,energy_floor,0,36.0,between
pre_gate,neg_mu,0,36.0,between
pre_gate,eps,0,36.0,between
pre_gate,tvec_compute_error,0,36.0,between
pre_gate,tvec_no_real_root,790,36.0,between
pre_gate,tvec_no_admissible_root,506,36.0,between
pre_gate,tvec_singularity,0,36.0,between
pre_gate,tvec_target_zero,0,36.0,between
pre_gate,tvec_off_component,4130,36.0,between
pre_gate,mu_nonfinite,0,36.0,between
pre_gate,unknown,0,36.0,between
post_gate,accepted,10,36.0,between
post_gate,inadmissible_root,0,36.0,between
post_gate,edge_margin,0,36.0,between
post_gate,nonisolated,0,36.0,between
post_gate,stability,0,36.0,between
post_gate,alignment,0,36.0,between
post_gate,delta_frac_min,0,36.0,between
post_gate,delta_frac_max,0,36.0,between
post_gate,soft_cap,0,36.0,between
post_gate,hard_cap,0,36.0,between
