stage,reason,count,injected_mu
pre_gate,edge_buffer,0,0.0
pre_gate,stability_fail,0,0.0
pre_gate,off_component_ratio,0,0.0
pre_gate,energy_floor,0,0.0
pre_gate,neg_mu,0,0.0
pre_gate,eps,0,0.0
pre_gate,tvec_compute_error,0,0.0
pre_gate,tvec_no_real_root,7756,0.0
pre_gate,tvec_no_admissible_root,3404,0.0
pre_gate,tvec_singularity,0,0.0
pre_gate,tvec_target_zero,0,0.0
pre_gate,tvec_off_component,22320,0.0
pre_gate,mu_nonfinite,0,0.0
pre_gate,unknown,0,0.0
post_gate,accepted,0,0.0
post_gate,inadmissible_root,0,0.0
post_gate,edge_margin,0,0.0
post_gate,nonisolated,0,0.0
post_gate,stability,0,0.0
post_gate,alignment,0,0.0
post_gate,delta_frac_min,0,0.0
post_gate,delta_frac_max,0,0.0
post_gate,soft_cap,0,0.0
post_gate,hard_cap,0,0.0
pre_gate,edge_buffer,0,3.0
pre_gate,stability_fail,0,3.0
pre_gate,off_component_ratio,10,3.0
pre_gate,energy_floor,0,3.0
pre_gate,neg_mu,0,3.0
pre_gate,eps,0,3.0
pre_gate,tvec_compute_error,0,3.0
pre_gate,tvec_no_real_root,3177,3.0
pre_gate,tvec_no_admissible_root,1391,3.0
pre_gate,tvec_singularity,0,3.0
pre_gate,tvec_target_zero,0,3.0
pre_gate,tvec_off_component,8854,3.0
pre_gate,mu_nonfinite,0,3.0
pre_gate,unknown,0,3.0
post_gate,accepted,0,3.0
post_gate,inadmissible_root,0,3.0
post_gate,edge_margin,0,3.0
post_gate,nonisolated,0,3.0
post_gate,stability,0,3.0
post_gate,alignment,0,3.0
post_gate,delta_frac_min,0,3.0
post_gate,delta_frac_max,0,3.0
post_gate,soft_cap,0,3.0
post_gate,hard_cap,0,3.0
pre_gate,edge_buffer,0,6.0
pre_gate,stability_fail,0,6.0
pre_gate,off_component_ratio,39,6.0
pre_gate,energy_floor,0,6.0
pre_gate,neg_mu,0,6.0
pre_gate,eps,0,6.0
pre_gate,tvec_compute_error,0,6.0
pre_gate,tvec_no_real_root,3090,6.0
pre_gate,tvec_no_admissible_root,1268,6.0
pre_gate,tvec_singularity,0,6.0
pre_gate,tvec_target_zero,0,6.0
pre_gate,tvec_off_component,9101,6.0
pre_gate,mu_nonfinite,0,6.0
pre_gate,unknown,0,6.0
post_gate,accepted,0,6.0
post_gate,inadmissible_root,0,6.0
post_gate,edge_margin,0,6.0
post_gate,nonisolated,0,6.0
post_gate,stability,0,6.0
post_gate,alignment,0,6.0
post_gate,delta_frac_min,0,6.0
post_gate,delta_frac_max,0,6.0
post_gate,soft_cap,0,6.0
post_gate,hard_cap,0,6.0
pre_gate,edge_buffer,0,12.0
pre_gate,stability_fail,0,12.0
pre_gate,off_component_ratio,59,12.0
pre_gate,energy_floor,0,12.0
pre_gate,neg_mu,0,12.0
pre_gate,eps,0,12.0
pre_gate,tvec_compute_error,0,12.0
pre_gate,tvec_no_real_root,3041,12.0
pre_gate,tvec_no_admissible_root,1244,12.0
pre_gate,tvec_singularity,0,12.0
pre_gate,tvec_target_zero,2,12.0
pre_gate,tvec_off_component,9182,12.0
pre_gate,mu_nonfinite,0,12.0
pre_gate,unknown,0,12.0
post_gate,accepted,0,12.0
post_gate,inadmissible_root,0,12.0
post_gate,edge_margin,0,12.0
post_gate,nonisolated,0,12.0
post_gate,stability,0,12.0
post_gate,alignment,0,12.0
post_gate,delta_frac_min,0,12.0
post_gate,delta_frac_max,0,12.0
post_gate,soft_cap,0,12.0
post_gate,hard_cap,0,12.0
pre_gate,edge_buffer,0,24.0
pre_gate,stability_fail,0,24.0
pre_gate,off_component_ratio,68,24.0
pre_gate,energy_floor,0,24.0
pre_gate,neg_mu,0,24.0
pre_gate,eps,0,24.0
pre_gate,tvec_compute_error,0,24.0
pre_gate,tvec_no_real_root,3005,24.0
pre_gate,tvec_no_admissible_root,1243,24.0
pre_gate,tvec_singularity,0,24.0
pre_gate,tvec_target_zero,0,24.0
pre_gate,tvec_off_component,9217,24.0
pre_gate,mu_nonfinite,0,24.0
pre_gate,unknown,0,24.0
post_gate,accepted,0,24.0
post_gate,inadmissible_root,0,24.0
post_gate,edge_margin,0,24.0
post_gate,nonisolated,0,24.0
post_gate,stability,0,24.0
post_gate,alignment,0,24.0
post_gate,delta_frac_min,0,24.0
post_gate,delta_frac_max,0,24.0
post_gate,soft_cap,0,24.0
post_gate,hard_cap,0,24.0
