label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias
full,Equal Weight,Aliased,23,2.219342440504611e-06,2.208985884839247e-06,2.885076337358616e-06,-0.05,,,,,,,,
full,Equal Weight,De-aliased,23,2.219342440504611e-06,2.208985884839247e-06,2.885076337358616e-06,-0.05,0.00048828125,,1.1597358633742976e-06,0.0,3.916414784154528e-07,1.4647882205423255e-06,0.0,0.0
full,Equal Weight,Ledoit-Wolf,23,1.3435013153670807e-06,1.0492500214649494e-06,1.7141540415816815e-06,-0.05,,,,,,,,
full,Equal Weight,SCM,23,2.219342440504611e-06,2.208985884839247e-06,2.8850763373586153e-06,-0.05,,,,,,,,
full,Min-Variance (box),Aliased,23,5.646427530916873e-07,3.847109508840433e-08,6.320570303095082e-07,0.3847826086956522,,,,,,,,
full,Min-Variance (box),De-aliased,23,5.646427530916873e-07,3.847109508840433e-08,6.320570303095082e-07,0.3847826086956522,0.03468966484069824,,2.2379074457038837e-08,0.0,2.177695534668628e-09,5.845679641946781e-08,0.0,0.0
full,Min-Variance (box),Ledoit-Wolf,23,5.054548289736213e-07,1.609202063136549e-08,5.271578647686169e-07,0.14565217391304347,,,,,,,,
full,Min-Variance (box),SCM,23,5.646427530916873e-07,3.847109508840431e-08,6.320570303095083e-07,0.3847826086956522,,,,,,,,
full,Min-Variance (long-only),Aliased,23,1.3916573370888547e-07,2.6370802894154497e-08,7.969181956342506e-08,0.08043478260869565,,,,,,,,
full,Min-Variance (long-only),De-aliased,23,1.3916573370888547e-07,2.6370802894154497e-08,7.969181956342506e-08,0.08043478260869565,0.21003961563110352,,-1.5281458920623693e-08,0.0,-5.164787868841698e-08,-7.648396789997524e-09,0.0,0.0
full,Min-Variance (long-only),Ledoit-Wolf,23,1.3154318295955463e-07,6.256199827268097e-08,7.091276758682142e-08,0.015217391304347822,,,,,,,,
full,Min-Variance (long-only),SCM,23,1.3916573370888545e-07,2.6370802894154497e-08,7.969181956342506e-08,0.08043478260869565,,,,,,,,
