label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias
full,Equal Weight,Aliased,10,5.889058100428533e-05,6.482782844211197e-05,6.188978779510368e-05,-0.05,,,,,,,,
full,Equal Weight,De-aliased,10,5.889058100428533e-05,6.482782844211197e-05,6.188978779510368e-05,-0.05,0.75390625,,2.470665426014193e-05,0.0,2.470665426014193e-05,2.470665426014193e-05,0.0,0.0
full,Equal Weight,Ledoit-Wolf,10,4.3607595922327155e-05,2.4355024265963387e-05,5.489764676778692e-06,-0.05,,,,,,,,
full,Equal Weight,SCM,10,5.8890581004285326e-05,6.482782844211197e-05,6.188978779510366e-05,-0.05,,,,,,,,
full,Min-Variance (box),Aliased,10,4.112660480149579e-05,1.5239388066701084e-06,3.8116752446481757e-06,0.3,,,,,,,,
full,Min-Variance (box),De-aliased,10,4.112660480149579e-05,1.5239388066701084e-06,3.8116752446481757e-06,0.3,0.021484375,,3.201807824729779e-07,0.0,3.201807824729779e-07,3.201807824729779e-07,0.0,0.0
full,Min-Variance (box),Ledoit-Wolf,10,4.057265102832305e-05,1.0421425730041669e-06,3.557232596278355e-06,0.2,,,,,,,,
full,Min-Variance (box),SCM,10,4.112660480149579e-05,1.5239388066701084e-06,3.8116752446481753e-06,0.3,,,,,,,,
full,Min-Variance (long-only),Aliased,10,7.506043714645765e-06,2.9207884566569743e-07,2.985006224683018e-06,0.09999999999999999,,,,,,,,
full,Min-Variance (long-only),De-aliased,10,7.506043714645765e-06,2.9207884566569743e-07,2.985006224683018e-06,0.09999999999999999,0.75390625,,-9.427311167955088e-07,0.0,-9.427311167955088e-07,-9.427311167955088e-07,0.0,0.0
full,Min-Variance (long-only),Ledoit-Wolf,10,7.1808282403316675e-06,3.034209394760321e-06,3.8568507782753436e-06,-0.05,,,,,,,,
full,Min-Variance (long-only),SCM,10,7.506043714645765e-06,2.920788456656977e-07,2.985006224683018e-06,0.09999999999999999,,,,,,,,
