regime,estimator,portfolio,mse_mean,es_mse_mean,var95,es95,realised_var,realised_es,violation_rate,count,qlike_mean,mv_turnover_mean,mv_turnover_cost_bps,cov_condition_median,cov_condition_p90,baseline_mse,baseline_es_mse,baseline_qlike_mean,delta_mse_vs_baseline,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper
calm,baseline,ew,3.411465950042104e-09,2.1830971506721393e-05,-0.013781873006905065,-0.01728302476097628,5.54308632471277e-05,-0.017953303096591666,0.057539682539682536,47,0.44011460557884785,0.0,0.0,231.12952190388245,263.34549095428684,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,0.0,0.0,0.0,,
calm,baseline,mv,2.393552978207775e-10,9.333251730363051e-06,-0.005757489930787917,-0.007220124651056048,1.4025390082262031e-05,-0.007553747145441861,0.07255291005291005,47,0.398970441719672,0.030892791711759213,0.15446395855879608,231.12952190388245,263.34549095428684,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,0.0,0.0,0.0,,
calm,cc,ew,3.9359647532290095e-09,2.001202230385408e-05,-0.01469413297432629,-0.01842703556397011,5.54308632471277e-05,-0.018265867942090955,0.05555555555555555,47,0.4720814114030038,0.0,0.0,42045.65641229018,44922.22941324606,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,5.244988031869057e-10,-1.8189492028673126e-06,0.03196680582415595,,
calm,cc,mv,3.1584972840816353e-10,3.580455156464896e-05,-0.007596040379008718,-0.009525741086861522,1.4025390082262031e-05,-0.01272894817991367,0.017857142857142856,47,0.35909549390082873,0.030892791711759213,0.15446395855879608,42045.65641229018,44922.22941324606,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,7.649443058738602e-11,2.647129983428591e-05,-0.039874947818843265,,
calm,ewma,ew,4.7240151309557625e-09,1.8261687313908617e-05,-0.015617139490202242,-0.01958452297228058,5.54308632471277e-05,-0.019505834885241276,0.03968253968253968,47,0.5122593243761787,0.0,0.0,748039.7654273228,2.1687058828807416e+18,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,1.3125491809136587e-09,-3.5692841928127757e-06,0.07214471879733086,,
calm,ewma,mv,2.4234732579611845e-10,9.58614597194826e-06,-0.005790726687367186,-0.007261804884696732,1.4025390082262031e-05,-0.007568822292789181,0.06838624338624338,47,0.40673833661535996,0.030892791711759213,0.15446395855879608,748039.7654273228,2.1687058828807416e+18,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,2.9920279753409335e-12,2.528942415852086e-07,0.007767894895687966,,
calm,lw,ew,3.3480915497876067e-09,2.2405760021511034e-05,-0.013623023672533803,-0.01708382128712134,5.54308632471277e-05,-0.017953303096591666,0.057539682539682536,47,0.43618408627963734,0.0,0.0,181.78962398410584,207.91659664204235,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,-6.337440025449712e-11,5.74788514789641e-07,-0.003930519299210511,,
calm,lw,mv,2.3811412096154144e-10,9.184685434035567e-06,-0.005785077863588557,-0.007254721031784465,1.4025390082262031e-05,-0.007553747145441861,0.07255291005291005,47,0.3886542062257324,0.030892791711759213,0.15446395855879608,181.78962398410584,207.91659664204235,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,-1.2411768592360786e-12,-1.485662963274844e-07,-0.010316235493939618,,
calm,oas,ew,3.411465950042104e-09,2.1830971506721393e-05,-0.013781873006905065,-0.01728302476097628,5.54308632471277e-05,-0.017953303096591666,0.057539682539682536,47,0.44011460557884785,0.0,0.0,231.12952190388245,263.34549095428684,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,0.0,0.0,0.0,,
calm,oas,mv,2.393552978207775e-10,9.333251730363051e-06,-0.005757489930787917,-0.007220124651056048,1.4025390082262031e-05,-0.007553747145441861,0.07255291005291005,47,0.398970441719672,0.030892791711759213,0.15446395855879608,231.12952190388245,263.34549095428684,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,0.0,0.0,0.0,,
calm,overlay,ew,3.411465950042104e-09,2.1830971506721393e-05,-0.013781873006905065,-0.01728302476097628,5.54308632471277e-05,-0.017953303096591666,0.057539682539682536,47,0.44011460557884785,0.0,0.0,231.12952190388245,263.34549095428684,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,0.0,0.0,0.0,,
calm,overlay,mv,2.393552978207775e-10,9.333251730363051e-06,-0.005757489930787917,-0.007220124651056048,1.4025390082262031e-05,-0.007553747145441861,0.07255291005291005,47,0.398970441719672,0.030892791711759213,0.15446395855879608,231.12952190388245,263.34549095428684,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,0.0,0.0,0.0,,
calm,quest,ew,4.0724948258063805e-09,2.8788779838848018e-05,-0.007428827042556574,-0.009316048816963235,5.54308632471277e-05,-0.013455732349421745,0.13164633909119203,47,1.311076982707552,0.0,0.0,234.7559787151483,903.5738811095056,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,6.610288757642766e-10,6.9578083321266245e-06,0.8709623771287041,,
calm,quest,mv,2.4051028988585536e-10,5.573115470823649e-06,-0.005098193690555048,-0.00639334056742284,1.4025390082262031e-05,-0.007160797156188934,0.10117783224400871,47,0.44990210178311135,0.030892791711759213,0.15446395855879608,234.7559787151483,903.5738811095056,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,1.1549920650778434e-12,-3.7601362595394017e-06,0.050931660063439355,,
calm,rie,ew,3.826504892812789e-09,2.2089005790541432e-05,-0.00686029911264564,-0.008603091856393779,5.54308632471277e-05,-0.012408442241493855,0.14051655384375972,47,1.0921304904411668,0.0,0.0,7.8267753708956755,9.459272608791176,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,4.150389427706854e-10,2.580342838200387e-07,0.652015884862319,,
calm,rie,mv,2.2303799553449193e-10,1.0102936352607754e-05,-0.0066122679851,-0.00829205081598393,1.4025390082262031e-05,-0.00829543200502342,0.049206349206349205,47,0.27568526524786974,0.030892791711759213,0.15446395855879608,7.8267753708956755,9.459272608791176,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,-1.631730228628559e-11,7.696846222447027e-07,-0.12328517647180226,,
calm,sample,ew,3.8581063702123184e-09,2.0335596721649416e-05,-0.014571073166833868,-0.01827271360069945,5.54308632471277e-05,-0.018265867942090955,0.05555555555555555,47,0.4677202796691151,0.0,0.0,487890.06182624237,1.9678963750330284e+18,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,4.4664042017021457e-10,-1.495374785071977e-06,0.027605674090267263,,
calm,sample,mv,2.450160371555159e-10,6.986260548158723e-06,-0.005668660403973372,-0.007108728840728062,1.4025390082262031e-05,-0.007341815177652552,0.06937830687830687,47,0.44412371828918307,0.030892791711759213,0.15446395855879608,487890.06182624237,1.9678963750330284e+18,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,5.660739334738387e-12,-2.346991182204328e-06,0.04515327656951107,,
calm,scm,ew,3.8581063702123184e-09,2.0335596721649416e-05,-0.014571073166833868,-0.01827271360069945,5.54308632471277e-05,-0.018265867942090955,0.05555555555555555,47,0.4677202796691151,0.0,0.0,487890.06182624237,1.9678963750330284e+18,3.411465950042104e-09,2.1830971506721393e-05,0.44011460557884785,4.4664042017021457e-10,-1.495374785071977e-06,0.027605674090267263,,
calm,scm,mv,2.450160371555159e-10,6.986260548158723e-06,-0.005668660403973372,-0.007108728840728062,1.4025390082262031e-05,-0.007341815177652552,0.06937830687830687,47,0.44412371828918307,0.030892791711759213,0.15446395855879608,487890.06182624237,1.9678963750330284e+18,2.393552978207775e-10,9.333251730363051e-06,0.398970441719672,5.660739334738387e-12,-2.346991182204328e-06,0.04515327656951107,,
