estimator,portfolio,regime,vaR95,es95,violation_rate,realised_var,realised_es,qlike,mv_turnover,mv_turnover_cost_bps,cov_condition
overlay,ew,calm,-0.01402089131257656,-0.017582763359146308,0.0,3.680987521801803e-05,,0.18663078313331982,0.0,0.0,201.78856283873392
overlay,mv,calm,-0.006875823945209927,-0.008622560622756969,0.1,2.0458003455408614e-05,-0.007261412170898264,0.013107042393709412,0.0,0.0,201.78856283873392
baseline,ew,calm,-0.01402089131257656,-0.017582763359146308,0.0,3.680987521801803e-05,,0.18663078313331982,0.0,0.0,201.78856283873392
baseline,mv,calm,-0.006875823945209927,-0.008622560622756969,0.1,2.0458003455408614e-05,-0.007261412170898264,0.013107042393709412,0.0,0.0,201.78856283873392
sample,ew,calm,-0.014865341959528836,-0.01864173853860024,0.0,3.680987521801803e-05,,0.24767675806610967,0.0,0.0,769842.1613772919
sample,mv,calm,-0.006890483893104848,-0.008640944788852216,0.1,2.0458003455408614e-05,-0.007261412170898264,0.012390264599386303,0.0,0.0,769842.1613772919
scm,ew,calm,-0.014865341959528836,-0.01864173853860024,0.0,3.680987521801803e-05,,0.24767675806610967,0.0,0.0,769842.1613772919
scm,mv,calm,-0.006890483893104848,-0.008640944788852216,0.1,2.0458003455408614e-05,-0.007261412170898264,0.012390264599386303,0.0,0.0,769842.1613772919
rie,ew,calm,-0.006965283248698669,-0.008734746198441853,0.1,3.680987521801803e-05,-0.010902957471170906,0.3335823298269043,0.0,0.0,5.897868836721421
rie,mv,calm,-0.00713768620020469,-0.008950946454985438,0.1,2.0458003455408614e-05,-0.007261412170898264,0.0035331293606730707,0.0,0.0,5.897868836721421
lw,ew,calm,-0.013766986157967795,-0.017264356051819925,0.0,3.680987521801803e-05,,0.16893962973799903,0.0,0.0,146.3144195272994
lw,mv,calm,-0.006886132641851741,-0.008635488144235695,0.1,2.0458003455408614e-05,-0.007261412170898264,0.012600643154368374,0.0,0.0,146.3144195272994
oas,ew,calm,-0.01402089131257656,-0.017582763359146308,0.0,3.680987521801803e-05,,0.18663078313331982,0.0,0.0,201.78856283873392
oas,mv,calm,-0.006875823945209927,-0.008622560622756969,0.1,2.0458003455408614e-05,-0.007261412170898264,0.013107042393709412,0.0,0.0,201.78856283873392
cc,ew,calm,-0.015069546830685577,-0.018897819685389627,0.0,3.680987521801803e-05,,0.2628322778579517,0.0,0.0,13897.51448932118
cc,mv,calm,-0.009144461273855892,-0.01146752335786697,0.0,2.0458003455408614e-05,,0.07453368423774798,0.0,0.0,13897.51448932118
quest,ew,calm,-0.007315158417167957,-0.009173503774924803,0.1,3.680987521801803e-05,-0.010902957471170906,0.23993561709409272,0.0,0.0,442.23442514640215
quest,mv,calm,-0.0051467581440014796,-0.006454242351309357,0.2,2.0458003455408614e-05,-0.00666793965587349,0.35259492791871194,0.0,0.0,442.23442514640215
ewma,ew,calm,-0.015441997054530924,-0.019364887292073068,0.0,3.680987521801803e-05,,0.29076226531408733,0.0,0.0,1095461.2271555709
ewma,mv,calm,-0.006908617182536394,-0.008663684665361477,0.1,2.0458003455408614e-05,-0.007261412170898264,0.011534915936345369,0.0,0.0,1095461.2271555709
overlay,ew,calm,-0.014060473553766398,-0.017632401086488312,0.0,4.123675636357708e-05,,0.13644009680057234,0.0,0.0,204.13833253328772
overlay,mv,calm,-0.006946547545507459,-0.008711250870774434,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.008135028388594812,0.026346647546682315,0.13173323773341158,204.13833253328772
baseline,ew,calm,-0.014060473553766398,-0.017632401086488312,0.0,4.123675636357708e-05,,0.13644009680057234,0.0,0.0,204.13833253328772
baseline,mv,calm,-0.006946547545507459,-0.008711250870774434,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.008135028388594812,0.026346647546682315,0.13173323773341158,204.13833253328772
sample,ew,calm,-0.014902070141148556,-0.018687797160098295,0.0,4.123675636357708e-05,,0.19076304836402658,0.0,0.0,771224.6254456044
sample,mv,calm,-0.006968973030233425,-0.008739373333345494,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.007300955765439321,0.026346647546682315,0.13173323773341158,771224.6254456044
scm,ew,calm,-0.014902070141148556,-0.018687797160098295,0.0,4.123675636357708e-05,,0.19076304836402658,0.0,0.0,771224.6254456044
scm,mv,calm,-0.006968973030233425,-0.008739373333345494,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.007300955765439321,0.026346647546682315,0.13173323773341158,771224.6254456044
rie,ew,calm,-0.006978240784995545,-0.008750995471711745,0.1111111111111111,4.123675636357708e-05,-0.010902957471170906,0.46207705617075634,0.0,0.0,5.917697500395653
rie,mv,calm,-0.007161206554058765,-0.0089804419276141,0.0,2.020814806589052e-05,,0.002094496556293013,0.026346647546682315,0.13173323773341158,5.917697500395653
lw,ew,calm,-0.013811864421511794,-0.017320635204854638,0.0,4.123675636357708e-05,,0.12125952701006071,0.0,0.0,148.75331945560717
lw,mv,calm,-0.006954357268193176,-0.008721044578094621,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.007838925412151365,0.026346647546682315,0.13173323773341158,148.75331945560717
oas,ew,calm,-0.014060473553766398,-0.017632401086488312,0.0,4.123675636357708e-05,,0.13644009680057234,0.0,0.0,204.13833253328772
oas,mv,calm,-0.006946547545507459,-0.008711250870774434,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.008135028388594812,0.026346647546682315,0.13173323773341158,204.13833253328772
cc,ew,calm,-0.015107016331807433,-0.018944807951450853,0.0,4.123675636357708e-05,,0.20454253095204233,0.0,0.0,14162.869226138258
cc,mv,calm,-0.009125594164330583,-0.011443863241355186,0.0,2.020814806589052e-05,,0.07731360622427186,0.026346647546682315,0.13173323773341158,14162.869226138258
quest,ew,calm,-0.0073180615563667815,-0.009177144428603205,0.1111111111111111,4.123675636357708e-05,-0.010902957471170906,0.34933455289815485,0.0,0.0,442.2344251464003
quest,mv,calm,-0.0052247120879999305,-0.006551999742025841,0.2222222222222222,2.020814806589052e-05,-0.006704800566753278,0.30829702452531693,0.026346647546682315,0.13173323773341158,442.2344251464003
ewma,ew,calm,-0.01543913400025607,-0.0193612969065065,0.0,4.123675636357708e-05,,0.22722906386430308,0.0,0.0,1101911.4886379316
ewma,mv,calm,-0.0069398275462458124,-0.008702823720591394,0.1111111111111111,2.020814806589052e-05,-0.007068131721977578,0.008394668076596279,0.026346647546682315,0.13173323773341158,1101911.4886379316
overlay,ew,calm,-0.013994043597927372,-0.01754909524184287,0.0,3.55061069327842e-05,,0.2027923269929386,0.0,0.0,205.45089899990327
overlay,mv,calm,-0.007009459839468386,-0.008790145425509611,0.0,1.565966140325804e-05,,0.010449063569875072,0.04547771193107349,0.22738855965536747,205.45089899990327
baseline,ew,calm,-0.013994043597927372,-0.01754909524184287,0.0,3.55061069327842e-05,,0.2027923269929386,0.0,0.0,205.45089899990327
baseline,mv,calm,-0.007009459839468386,-0.008790145425509611,0.0,1.565966140325804e-05,,0.010449063569875072,0.04547771193107349,0.22738855965536747,205.45089899990327
sample,ew,calm,-0.014828555223686216,-0.018595606487744384,0.0,3.55061069327842e-05,,0.2649796658439405,0.0,0.0,758229.8874052189
sample,mv,calm,-0.007052484423020512,-0.008844099989050397,0.0,1.565966140325804e-05,,0.012198412199942776,0.04547771193107349,0.22738855965536747,758229.8874052189
scm,ew,calm,-0.014828555223686216,-0.018595606487744384,0.0,3.55061069327842e-05,,0.2649796658439405,0.0,0.0,758229.8874052189
scm,mv,calm,-0.007052484423020512,-0.008844099989050397,0.0,1.565966140325804e-05,,0.012198412199942776,0.04547771193107349,0.22738855965536747,758229.8874052189
rie,ew,calm,-0.006941912175430542,-0.008705437929690484,0.125,3.55061069327842e-05,-0.010902957471170906,0.30356945375315014,0.0,0.0,5.927293568343089
rie,mv,calm,-0.007085923460883667,-0.008886033891581827,0.0,1.565966140325804e-05,,0.013638180259335275,0.04547771193107349,0.22738855965536747,5.927293568343089
lw,ew,calm,-0.013724859161388468,-0.017211527098554915,0.0,3.55061069327842e-05,,0.18337659602540946,0.0,0.0,145.95713209229805
lw,mv,calm,-0.007010925253618024,-0.008791983113973332,0.0,1.565966140325804e-05,,0.010506700880292374,0.04547771193107349,0.22738855965536747,145.95713209229805
oas,ew,calm,-0.013994043597927372,-0.01754909524184287,0.0,3.55061069327842e-05,,0.2027923269929386,0.0,0.0,205.45089899990327
oas,mv,calm,-0.007009459839468386,-0.008790145425509611,0.0,1.565966140325804e-05,,0.010449063569875072,0.04547771193107349,0.22738855965536747,205.45089899990327
cc,ew,calm,-0.01503982171403485,-0.01886054318989152,0.0,3.55061069327842e-05,,0.28108557704364,0.0,0.0,14467.786429594807
cc,mv,calm,-0.009173638366322543,-0.01150411260892898,0.0,1.565966140325804e-05,,0.1897239589244748,0.04547771193107349,0.22738855965536747,14467.786429594807
quest,ew,calm,-0.007286354175711413,-0.009137382094071616,0.125,3.55061069327842e-05,-0.010902957471170906,0.2164092284041117,0.0,0.0,442.2344251464013
quest,mv,calm,-0.005232216066782416,-0.006561410034156567,0.25,1.565966140325804e-05,-0.006550620703283175,0.11090325539109158,0.04547771193107349,0.22738855965536747,442.2344251464013
ewma,ew,calm,-0.015326909745514242,-0.019220563163530248,0.0,3.55061069327842e-05,,0.30314210639992867,0.0,0.0,1097008.306206111
ewma,mv,calm,-0.007023917311143769,-0.008808275678256938,0.0,1.565966140325804e-05,,0.01102374409736906,0.04547771193107349,0.22738855965536747,1097008.306206111
overlay,ew,calm,-0.014045197811631415,-0.017613244689572677,0.0,3.219831695071802e-05,,0.25894705571622567,0.0,0.0,206.02352625588316
overlay,mv,calm,-0.007049415171288009,-0.008840251023553184,0.14285714285714285,1.1384043195498188e-05,-0.007072664946462776,0.0981643000877166,0.03672667719533474,0.1836333859766737,206.02352625588316
baseline,ew,calm,-0.014045197811631415,-0.017613244689572677,0.0,3.219831695071802e-05,,0.25894705571622567,0.0,0.0,206.02352625588316
baseline,mv,calm,-0.007049415171288009,-0.008840251023553184,0.14285714285714285,1.1384043195498188e-05,-0.007072664946462776,0.0981643000877166,0.03672667719533474,0.1836333859766737,206.02352625588316
sample,ew,calm,-0.014881640937045543,-0.018662178113965557,0.0,3.219831695071802e-05,,0.3263958583407671,0.0,0.0,1029602.8004670972
sample,mv,calm,-0.007090179027387251,-0.008891370543662177,0.0,1.1384043195498188e-05,,0.10258987814374843,0.03672667719533474,0.1836333859766737,1029602.8004670972
scm,ew,calm,-0.014881640937045543,-0.018662178113965557,0.0,3.219831695071802e-05,,0.3263958583407671,0.0,0.0,1029602.8004670972
scm,mv,calm,-0.007090179027387251,-0.008891370543662177,0.0,1.1384043195498188e-05,,0.10258987814374843,0.03672667719533474,0.1836333859766737,1029602.8004670972
rie,ew,calm,-0.00696570759067914,-0.008735278340404846,0.14285714285714285,3.219831695071802e-05,-0.010902957471170906,0.21016480807548987,0.0,0.0,5.932605948782239
rie,mv,calm,-0.007143880120007327,-0.008958713880302942,0.0,1.1384043195498188e-05,,0.10850425561565391,0.03672667719533474,0.1836333859766737,5.932605948782239
lw,ew,calm,-0.013775579956042169,-0.017275133021309907,0.0,3.219831695071802e-05,,0.23763629075236414,0.0,0.0,146.39119606581775
lw,mv,calm,-0.007051766283940785,-0.008843199413672105,0.14285714285714285,1.1384043195498188e-05,-0.007072664946462776,0.09841800970479908,0.03672667719533474,0.1836333859766737,146.39119606581775
oas,ew,calm,-0.014045197811631415,-0.017613244689572677,0.0,3.219831695071802e-05,,0.25894705571622567,0.0,0.0,206.02352625588316
oas,mv,calm,-0.007049415171288009,-0.008840251023553184,0.14285714285714285,1.1384043195498188e-05,-0.007072664946462776,0.0981643000877166,0.03672667719533474,0.1836333859766737,206.02352625588316
cc,ew,calm,-0.015102751440271869,-0.018939459605404194,0.0,3.219831695071802e-05,,0.34445965713396887,0.0,0.0,14830.118838745762
cc,mv,calm,-0.009176077203102064,-0.011507171008641947,0.0,1.1384043195498188e-05,,0.37147842973410206,0.03672667719533474,0.1836333859766737,14830.118838745762
quest,ew,calm,-0.007303708370919146,-0.009159144954992753,0.14285714285714285,3.219831695071802e-05,-0.010902957471170906,0.14260254282882245,0.0,0.0,442.2344251463987
quest,mv,calm,-0.0051935023348937655,-0.006512861452517038,0.2857142857142857,1.1384043195498188e-05,-0.006338852982077255,0.009207214091470295,0.03672667719533474,0.1836333859766737,442.2344251463987
ewma,ew,calm,-0.015298628885397124,-0.019185097823991783,0.0,3.219831695071802e-05,,0.3605148325844052,0.0,0.0,1547192.2683161567
ewma,mv,calm,-0.007030435173417422,-0.008816449340502101,0.14285714285714285,1.1384043195498188e-05,-0.007072664946462776,0.09612319639598788,0.03672667719533474,0.1836333859766737,1547192.2683161567
overlay,ew,calm,-0.014172498598565455,-0.017772885012159484,0.0,2.7881302867183697e-05,,0.35490364497199156,0.0,0.0,213.0864703810508
overlay,mv,calm,-0.007022120909808572,-0.008806022918509312,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.04652185293821165,0.015250042034123647,0.07625021017061823,213.0864703810508
baseline,ew,calm,-0.014172498598565455,-0.017772885012159484,0.0,2.7881302867183697e-05,,0.35490364497199156,0.0,0.0,213.0864703810508
baseline,mv,calm,-0.007022120909808572,-0.008806022918509312,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.04652185293821165,0.015250042034123647,0.07625021017061823,213.0864703810508
sample,ew,calm,-0.015001224517534524,-0.018812140748330406,0.0,2.7881302867183697e-05,,0.4282123799129778,0.0,0.0,898513.7877517464
sample,mv,calm,-0.00705283108938138,-0.008844534722652692,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.04894806631122117,0.015250042034123647,0.07625021017061823,898513.7877517464
scm,ew,calm,-0.015001224517534524,-0.018812140748330406,0.0,2.7881302867183697e-05,,0.4282123799129778,0.0,0.0,898513.7877517464
scm,mv,calm,-0.00705283108938138,-0.008844534722652692,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.04894806631122117,0.015250042034123647,0.07625021017061823,898513.7877517464
rie,ew,calm,-0.0070152894935303,-0.00879745604689246,0.16666666666666666,2.7881302867183697e-05,-0.010902957471170906,0.10569269725985486,0.0,0.0,5.992323559765253
rie,mv,calm,-0.00718750663290552,-0.009013423287527689,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.06009162991213568,0.015250042034123647,0.07625021017061823,5.992323559765253
lw,ew,calm,-0.013925883095517056,-0.01746361922198056,0.0,2.7881302867183697e-05,,0.33321464471167217,0.0,0.0,154.93799852343636
lw,mv,calm,-0.007027500779413221,-0.00881276949203683,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.04694366471257161,0.015250042034123647,0.07625021017061823,154.93799852343636
oas,ew,calm,-0.014172498598565455,-0.017772885012159484,0.0,2.7881302867183697e-05,,0.35490364497199156,0.0,0.0,213.0864703810508
oas,mv,calm,-0.007022120909808572,-0.008806022918509312,0.16666666666666666,1.3216537127844115e-05,-0.007386843513109333,0.04652185293821165,0.015250042034123647,0.07625021017061823,213.0864703810508
