regime,estimator,portfolio,mse_mean,es_mse_mean,var95,es95,realised_var,realised_es,violation_rate,count,qlike_mean,mv_turnover_mean,mv_turnover_cost_bps,cov_condition_median,cov_condition_p90,baseline_mse,baseline_es_mse,baseline_qlike_mean,delta_mse_vs_baseline,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper
full,baseline,ew,1.786584462052673e-08,3.1176181478310896e-05,-0.015081005740577063,-0.018912189620687185,0.00012741577831537574,-0.020408271107895073,0.08957179136562385,947,0.571558412867253,0.0,0.0,24.515479974422398,33.22987860938779,1.786584462052673e-08,3.1176181478310896e-05,0.571558412867253,0.0,0.0,0.0,,
full,baseline,mv,2.5678900870609997e-09,1.3375232397486922e-05,-0.0094825392129218,-0.01189148673273542,4.5329114995323355e-05,-0.012930259792202114,0.0775006792087206,947,0.4719731309191418,0.00954354974249574,0.04771774871247871,24.515479974422398,33.22987860938779,2.5678900870609997e-09,1.3375232397486922e-05,0.4719731309191418,0.0,0.0,0.0,,
full,cc,ew,2.8667385404471836e-08,3.079541752887936e-05,-0.019728552817057335,-0.0247404011533553,0.00012741577831537574,-0.02327654214777762,0.04899233834711266,947,0.344839243354104,0.0,0.0,26842.969140731857,128758.81580861022,1.786584462052673e-08,3.1176181478310896e-05,0.571558412867253,1.0801540783945105e-08,-3.80763949431533e-07,-0.22671916951314897,,
full,cc,mv,3.017099838172603e-09,1.679966556346755e-05,-0.011361135238672307,-0.014247321938345754,4.5329114995323355e-05,-0.014667665789734786,0.05322638213993925,947,0.3280631574009601,0.00954354974249574,0.04771774871247871,26842.969140731857,128758.81580861022,2.5678900870609997e-09,1.3375232397486922e-05,0.4719731309191418,4.492097511116032e-10,3.4244331659806267e-06,-0.1439099735181817,,
full,ewma,ew,2.6113665589201628e-08,3.0460250233869815e-05,-0.01938725922039897,-0.02431240521413471,0.00012741577831537574,-0.023374678793688902,0.049073164768170474,947,0.35545211208460525,0.0,0.0,87478.51953480311,234351.30236389628,1.786584462052673e-08,3.1176181478310896e-05,0.571558412867253,8.247820968674897e-09,-7.159312444410802e-07,-0.2161063007826477,,
full,ewma,mv,2.572621009359444e-09,1.381146251406518e-05,-0.010357444271363392,-0.012988652972837434,4.5329114995323355e-05,-0.013614818961072726,0.06655927319109656,947,0.3690755903158757,0.00954354974249574,0.04771774871247871,87478.51953480311,234351.30236389628,2.5678900870609997e-09,1.3375232397486922e-05,0.4719731309191418,4.730922298444382e-12,4.3623011657825725e-07,-0.10289754060326606,,
full,lw,ew,2.7620328355472008e-08,3.186928663305429e-05,-0.01893224447967627,-0.023741798372337548,0.00012741577831537574,-0.02275077390956387,0.057016707836367274,947,0.3899115871753211,0.0,0.0,209.28161426995288,628.0543746137485,1.786584462052673e-08,3.1176181478310896e-05,0.571558412867253,9.754483734945277e-09,6.931051547433943e-07,-0.18164682569193186,,
full,lw,mv,2.7959319556095225e-09,1.542450897462206e-05,-0.010348224193212244,-0.012977090622864786,4.5329114995323355e-05,-0.013596578932351448,0.06776476757721665,947,0.40529941653900275,0.00954354974249574,0.04771774871247871,209.28161426995288,628.0543746137485,2.5678900870609997e-09,1.3375232397486922e-05,0.4719731309191418,2.2804186854852284e-10,2.0492765771351366e-06,-0.06667371438013903,,
full,oas,ew,2.7272972184862495e-08,3.149734511325183e-05,-0.018969463725455042,-0.023788472808102343,0.00012741577831537574,-0.022788767918783245,0.05654447462175179,947,0.3819050136738047,0.0,0.0,241.37064807524897,615.7623129028598,1.786584462052673e-08,3.1176181478310896e-05,0.571558412867253,9.407127564335764e-09,3.2116363494093714e-07,-0.18965339919344826,,
full,oas,mv,2.7838843080979715e-09,1.5398979097933172e-05,-0.010358059101934854,-0.012989423995178523,4.5329114995323355e-05,-0.013603652987089142,0.06760259744600627,947,0.4007301778167888,0.00954354974249574,0.04771774871247871,241.37064807524897,615.7623129028598,2.5678900870609997e-09,1.3375232397486922e-05,0.4719731309191418,2.159942210369718e-10,2.02374670044625e-06,-0.07124295310235296,,
