regime,estimator,portfolio,mse_mean,es_mse_mean,var95,es95,realised_var,realised_es,violation_rate,count,qlike_mean,mv_turnover_mean,mv_turnover_cost_bps,cov_condition_median,cov_condition_p90,baseline_mse,baseline_es_mse,baseline_qlike_mean,delta_mse_vs_baseline,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper
crisis,baseline,ew,6.549487577990736e-09,2.166804059226414e-05,-0.008379583903433022,-0.010508336277453033,3.278144973085823e-05,-0.008265769289443895,0.0763187731232844,168,3.3044586776858216,0.0,0.0,27.355124006666102,154.27498641062454,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,0.0,0.0,0.0,,
crisis,baseline,mv,5.294099392514706e-09,9.838946698059838e-06,-0.0040627799262983365,-0.00509488993473028,3.219811321222313e-05,-0.006789660968312126,0.18255087122568325,168,6.474208368402386,0.02901117913913937,0.14505589569569685,27.355124006666102,154.27498641062454,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,0.0,0.0,0.0,,
crisis,cc,ew,7.268314781636951e-09,2.670983945672268e-05,-0.009690015098196624,-0.012151669863193356,3.278144973085823e-05,-0.010287923687887302,0.05264425945816923,168,2.0570562730631075,0.0,0.0,7125.950880335715,12110.703956242583,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,7.188272036462146e-10,5.04179886445854e-06,-1.2474024046227141,,
crisis,cc,mv,5.379183552028846e-09,1.1965446041156236e-05,-0.006967900937056341,-0.008738028885249337,3.219811321222313e-05,-0.009061990900400463,0.08989512471655328,168,3.3699788644624533,0.02901117913913937,0.14505589569569685,7125.950880335715,12110.703956242583,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,8.508415951414037e-11,2.126499343096399e-06,-3.1042295039399326,,
crisis,ewma,ew,1.086506272806355e-08,2.2009114748764034e-05,-0.01102388449874974,-0.013824395904575237,3.278144973085823e-05,-0.008594322494407832,0.06565222580260174,168,2.515704814174696,0.0,0.0,395643.6613180834,5.712478943631575e+18,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,4.315575150072814e-09,3.4107415649989583e-07,-0.7887538635111255,,
crisis,ewma,mv,5.272013598535167e-09,9.81921500800184e-06,-0.0041284496723543234,-0.005177242445638193,3.219811321222313e-05,-0.006858660324593583,0.1825202888172813,168,6.970797638353562,0.02901117913913937,0.14505589569569685,395643.6613180834,5.712478943631575e+18,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,-2.2085793979538977e-11,-1.9731690057996738e-08,0.49658926995117625,,
crisis,lw,ew,6.048368534604767e-09,2.1505076841655548e-05,-0.00778514359468557,-0.00976288414842404,3.278144973085823e-05,-0.00797224108782846,0.07813879937940088,168,3.456050631241697,0.0,0.0,18.318348008358925,60.23612263986329,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,-5.011190433859686e-10,-1.629637506085906e-07,0.1515919535558754,,
crisis,lw,mv,5.27908419928254e-09,9.899700515519731e-06,-0.004246679214997336,-0.005325507061917441,3.219811321222313e-05,-0.006895871532172675,0.17501790189760114,168,6.181681459035585,0.02901117913913937,0.14505589569569685,18.318348008358925,60.23612263986329,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,-1.501519323216574e-11,6.075381745989398e-08,-0.29252690936680104,,
crisis,oas,ew,6.549487577990736e-09,2.166804059226414e-05,-0.008379583903433022,-0.010508336277453033,3.278144973085823e-05,-0.008265769289443895,0.0763187731232844,168,3.3044586776858216,0.0,0.0,27.355124006666102,154.27498641062454,6.549487577990736e-09,2.166804059226414e-05,3.3044586776858216,0.0,0.0,0.0,,
crisis,oas,mv,5.294099392514706e-09,9.838946698059838e-06,-0.0040627799262983365,-0.00509488993473028,3.219811321222313e-05,-0.006789660968312126,0.18255087122568325,168,6.474208368402386,0.02901117913913937,0.14505589569569685,27.355124006666102,154.27498641062454,5.294099392514706e-09,9.838946698059838e-06,6.474208368402386,0.0,0.0,0.0,,
