scenario,trial,weeks_common,n_obs,detected,skip_reason,isolated_spikes,edge_mode,delta_frac_used,calibration_missing
null,0,8,80,True,,2,tyler,0.05,False
null,1,7,70,True,,3,tyler,0.05,False
null,2,8,80,True,,2,tyler,0.05,False
null,3,8,80,True,,2,tyler,0.05,False
null,4,8,80,True,,2,tyler,0.05,False
null,5,7,70,True,,1,tyler,0.05,False
null,6,7,70,True,,4,tyler,0.05,False
null,7,8,80,True,,2,tyler,0.05,False
null,8,7,70,True,,1,tyler,0.05,False
null,9,6,60,True,,3,tyler,0.05,False
null,10,8,80,True,,2,tyler,0.05,False
null,11,7,70,True,,3,tyler,0.05,False
null,12,6,60,True,,4,tyler,0.05,False
null,13,7,70,True,,1,tyler,0.05,False
null,14,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,15,7,70,True,,5,tyler,0.05,False
null,16,6,60,True,,4,tyler,0.05,False
null,17,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,18,7,70,True,,3,tyler,0.05,False
null,19,6,60,True,,5,tyler,0.05,False
null,20,6,60,True,,3,tyler,0.05,False
null,21,6,60,True,,4,tyler,0.05,False
null,22,7,70,True,,1,tyler,0.05,False
null,23,7,70,True,,2,tyler,0.05,False
null,24,8,80,False,no_isolated_spike,0,tyler,0.05,False
null,25,6,60,True,,5,tyler,0.05,False
null,26,6,60,True,,5,tyler,0.05,False
null,27,7,70,True,,1,tyler,0.05,False
null,28,8,80,True,,1,tyler,0.05,False
null,29,8,80,True,,3,tyler,0.05,False
null,30,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,31,8,80,True,,3,tyler,0.05,False
null,32,6,60,True,,2,tyler,0.05,False
null,33,7,70,True,,3,tyler,0.05,False
null,34,8,80,True,,2,tyler,0.05,False
null,35,7,70,True,,2,tyler,0.05,False
null,36,6,60,True,,3,tyler,0.05,False
null,37,8,80,True,,2,tyler,0.05,False
null,38,8,80,True,,2,tyler,0.05,False
null,39,7,70,True,,5,tyler,0.05,False
null,40,6,60,True,,4,tyler,0.05,False
null,41,6,60,True,,3,tyler,0.05,False
null,42,7,70,True,,1,tyler,0.05,False
null,43,7,70,True,,3,tyler,0.05,False
null,44,7,70,True,,1,tyler,0.05,False
null,45,7,70,True,,1,tyler,0.05,False
null,46,7,70,True,,1,tyler,0.05,False
null,47,7,70,True,,3,tyler,0.05,False
null,48,6,60,True,,3,tyler,0.05,False
null,49,7,70,True,,1,tyler,0.05,False
null,50,8,80,True,,2,tyler,0.05,False
null,51,8,80,True,,2,tyler,0.05,False
null,52,6,60,True,,4,tyler,0.05,False
null,53,8,80,True,,1,tyler,0.05,False
null,54,7,70,True,,3,tyler,0.05,False
null,55,7,70,True,,1,tyler,0.05,False
null,56,6,60,True,,3,tyler,0.05,False
null,57,7,70,True,,1,tyler,0.05,False
null,58,7,70,False,no_isolated_spike,0,tyler,0.05,False
null,59,8,80,True,,2,tyler,0.05,False
null,60,8,80,True,,1,tyler,0.05,False
null,61,7,70,True,,2,tyler,0.05,False
null,62,8,80,True,,1,tyler,0.05,False
null,63,8,80,True,,1,tyler,0.05,False
null,64,8,80,True,,3,tyler,0.05,False
null,65,8,80,True,,1,tyler,0.05,False
null,66,8,80,True,,1,tyler,0.05,False
null,67,6,60,True,,4,tyler,0.05,False
